,adni,gtex,mpower,nhanes,radar_cns,studentlife,tcga,ukb_imaging,Total
ARIMA,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.3
Autoencoder,1.9,0.0,1.9,0.0,0.0,4.3,0.0,5.5,2.6
CNN,15.1,0.0,9.3,0.0,12.1,1.4,3.7,7.3,7.5
CatBoost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.3
Cox Proportional Hazards,3.8,15.4,1.9,0.0,0.0,0.0,11.1,3.6,3.3
DNN,0.0,0.0,1.9,0.0,0.0,0.0,3.7,1.8,1.0
Decision Tree,1.9,0.0,7.4,100.0,3.0,7.1,3.7,0.0,4.2
Elastic Net,0.0,7.7,1.9,0.0,0.0,0.0,0.0,1.8,1.0
Ensemble,15.1,7.7,9.3,0.0,15.2,4.3,7.4,3.6,8.5
Federated Learning,0.0,0.0,0.0,0.0,0.0,7.1,0.0,1.8,2.0
Generalized Estimating Equations,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.3
Gradient Boosting,0.0,0.0,1.9,0.0,0.0,0.0,3.7,1.8,1.0
Graph neural network,0.0,7.7,0.0,0.0,0.0,2.9,0.0,0.0,1.0
Hidden Markov Model,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.3
Joint Model,0.0,0.0,0.0,0.0,6.1,2.9,0.0,0.0,1.3
Kalman Filter,0.0,0.0,3.7,0.0,12.1,0.0,0.0,0.0,2.0
Kaplan–Meier,1.9,15.4,0.0,0.0,3.0,0.0,18.5,0.0,2.9
LASSO,5.7,7.7,0.0,0.0,0.0,2.9,14.8,3.6,3.9
LSTM,0.0,0.0,0.0,0.0,3.0,11.4,0.0,0.0,2.9
LightGBM,0.0,0.0,1.9,0.0,3.0,0.0,0.0,0.0,0.7
Linear Regression,7.5,30.8,7.4,0.0,12.1,7.1,3.7,27.3,12.1
Logistic Regression,7.5,7.7,18.5,0.0,3.0,8.6,7.4,18.2,11.1
MLP,0.0,0.0,0.0,0.0,3.0,1.4,0.0,1.8,1.0
Naive Bayes,1.9,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.7
RNN,1.9,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.7
Random Forest,15.1,0.0,22.2,0.0,9.1,17.1,11.1,7.3,13.7
Reinforcement Learning,0.0,0.0,0.0,0.0,3.0,1.4,0.0,0.0,0.7
Ridge Regression,1.9,0.0,0.0,0.0,0.0,0.0,0.0,3.6,1.0
Support Vector Machine,13.2,0.0,1.9,0.0,9.1,2.9,7.4,0.0,4.9
TCN,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.3
Transformer,5.7,0.0,3.7,0.0,0.0,8.6,3.7,9.1,5.6
XGBoost,0.0,0.0,3.7,0.0,0.0,2.9,0.0,0.0,1.3
Papers (N),53.0,13.0,54.0,1.0,33.0,70.0,27.0,55.0,306.0
