,eicu,elsa,hrs,midus,mimic,nhanes,noaa,openaq,ukb_imaging,Total
Linear / GLM,75.7,81.7,70.4,76.2,78.6,90.5,37.9,45.7,62.0,72.7
Deep learning,73.8,32.0,14.1,21.4,116.2,17.9,51.7,171.4,117.0,80.8
Survival models,44.5,29.7,28.2,16.7,27.9,22.1,0.0,0.0,19.4,26.7
Tree-based ensemble,105.3,18.9,8.5,6.0,122.8,10.5,3.4,111.4,23.5,57.6
Kernel / instance-based,22.4,5.7,8.5,0.0,43.1,2.1,0.0,14.3,9.2,17.1
Other classical ML,22.4,6.9,0.0,0.0,27.2,2.1,3.4,17.1,6.2,12.9
Probabilistic / statistical,9.9,9.7,14.1,6.0,8.6,3.2,0.0,25.7,18.6,11.6
Ensemble / stacking,16.3,6.3,1.4,0.0,18.3,2.1,27.6,37.1,10.8,12.1
Papers (N),263.0,175.0,71.0,84.0,290.0,95.0,29.0,35.0,371.0,1413.0
