,adni,eICU,ELSA,HRS,MIDUS,MIMIC,mpower,NHANES,NOAA,OpenAQ,radar_cns,studentlife,Total
Autoencoder,9.883720930232558,2.6548672566371683,1.0638297872340425,0.0,0.0,2.2026431718061676,6.956521739130435,0.0,0.0,4.838709677419355,7.547169811320755,10.344827586206897,4.154727793696275
CNN,25.0,4.424778761061947,1.0638297872340425,0.0,0.0,12.334801762114537,33.04347826086956,0.0,0.0,17.741935483870968,16.037735849056602,29.88505747126437,12.535816618911175
DNN,37.7906976744186,23.008849557522122,4.25531914893617,0.0,1.7543859649122806,38.32599118942731,45.21739130434783,5.0,1.7543859649122806,41.935483870967744,28.30188679245283,42.5287356321839,25.859598853868192
GRU,2.9069767441860463,2.6548672566371683,1.0638297872340425,0.0,0.0,7.929515418502203,2.608695652173913,0.0,0.0,8.064516129032258,0.0,4.597701149425287,3.080229226361032
Graph neural network,1.744186046511628,2.2123893805309733,0.0,0.0,0.0,1.3215859030837005,4.3478260869565215,0.0,0.0,8.064516129032258,0.9433962264150944,9.195402298850574,2.148997134670487
LSTM,6.976744186046512,8.4070796460177,0.5319148936170213,0.0,0.0,18.502202643171806,9.565217391304348,0.0,1.7543859649122806,32.25806451612903,7.547169811320755,29.88505747126437,10.028653295128938
MLP,4.651162790697675,4.867256637168142,1.5957446808510638,0.0,1.7543859649122806,9.691629955947137,11.304347826086957,2.5,0.0,4.838709677419355,3.7735849056603774,12.643678160919542,5.515759312320917
RNN,9.30232558139535,6.637168141592921,1.5957446808510638,0.0,0.0,20.704845814977972,12.173913043478262,0.0,1.7543859649122806,6.451612903225806,8.49056603773585,18.39080459770115,8.954154727793696
TCN,0.5813953488372093,0.8849557522123894,0.0,0.0,0.0,3.0837004405286343,1.7391304347826086,0.0,0.0,3.225806451612903,0.9433962264150944,2.2988505747126435,1.2177650429799427
Transformer,27.906976744186046,19.469026548672566,12.76595744680851,16.94915254237288,26.31578947368421,20.26431718061674,39.130434782608695,30.0,19.298245614035086,17.741935483870968,54.71698113207547,39.08045977011494,25.644699140401144
AdaBoost,2.9069767441860463,3.0973451327433628,1.0638297872340425,0.0,0.0,5.286343612334802,2.608695652173913,0.0,0.0,3.225806451612903,1.8867924528301887,6.896551724137931,2.793696275071633
CatBoost,0.5813953488372093,5.752212389380531,1.5957446808510638,0.0,0.0,5.726872246696035,2.608695652173913,0.0,0.0,1.6129032258064515,0.0,3.4482758620689653,2.650429799426934
Extra Trees,0.5813953488372093,0.8849557522123894,0.0,0.0,0.0,0.881057268722467,1.7391304347826086,0.0,0.0,6.451612903225806,0.0,2.2988505747126435,0.9312320916905444
Gradient Boosting,6.976744186046512,25.221238938053098,1.5957446808510638,0.0,0.0,30.837004405286343,4.3478260869565215,2.5,0.0,22.58064516129032,4.716981132075472,11.494252873563218,12.679083094555873
LightGBM,0.5813953488372093,7.079646017699115,1.5957446808510638,0.0,0.0,7.048458149779736,3.4782608695652173,0.0,0.0,11.29032258064516,0.9433962264150944,1.1494252873563218,3.510028653295129
Random Forest,30.813953488372093,29.646017699115045,10.106382978723403,8.47457627118644,3.508771929824561,44.49339207048458,36.52173913043478,15.0,3.508771929824561,38.70967741935484,34.90566037735849,39.08045977011494,28.08022922636103
XGBoost,4.069767441860465,32.30088495575221,1.5957446808510638,1.694915254237288,0.0,33.92070484581498,6.086956521739131,2.5,0.0,19.35483870967742,3.7735849056603774,12.643678160919542,14.040114613180515
Elastic Net,4.651162790697675,2.2123893805309733,1.5957446808510638,1.694915254237288,1.7543859649122806,1.762114537444934,2.608695652173913,2.5,0.0,0.0,1.8867924528301887,6.896551724137931,2.4355300859598854
LASSO,12.790697674418606,15.929203539823009,1.5957446808510638,5.084745762711865,1.7543859649122806,16.299559471365637,4.3478260869565215,5.0,0.0,1.6129032258064515,3.7735849056603774,12.643678160919542,8.954154727793696
Linear Regression,21.511627906976745,9.734513274336283,18.085106382978726,5.084745762711865,21.052631578947366,7.488986784140969,19.130434782608695,22.5,15.789473684210526,29.03225806451613,13.20754716981132,16.091954022988507,15.114613180515759
Logistic Regression,22.093023255813954,52.654867256637175,62.23404255319149,50.847457627118644,33.33333333333333,58.590308370044056,27.82608695652174,47.5,0.0,1.6129032258064515,17.92452830188679,21.839080459770116,39.11174785100287
Ridge Regression,2.9069767441860463,0.8849557522123894,0.5319148936170213,0.0,0.0,1.3215859030837005,2.608695652173913,2.5,0.0,1.6129032258064515,0.9433962264150944,5.747126436781609,1.5759312320916905
Support Vector Machine,41.27906976744186,14.15929203539823,3.723404255319149,1.694915254237288,0.0,24.229074889867842,28.695652173913043,5.0,0.0,6.451612903225806,19.81132075471698,36.7816091954023,18.48137535816619
k-Nearest Neighbors,6.976744186046512,7.964601769911504,1.5957446808510638,3.389830508474576,0.0,18.502202643171806,9.565217391304348,0.0,0.0,9.67741935483871,2.8301886792452833,19.54022988505747,8.166189111747851
Cox Proportional Hazards,13.372093023255813,26.10619469026549,21.808510638297875,30.508474576271187,29.82456140350877,19.383259911894275,4.3478260869565215,37.5,0.0,0.0,3.7735849056603774,0.0,16.189111747851005
Joint Model,3.488372093023256,0.4424778761061947,2.127659574468085,3.389830508474576,0.0,0.4405286343612335,0.0,0.0,0.0,0.0,1.8867924528301887,6.896551724137931,1.5759312320916905
Kaplan–Meier,2.9069767441860463,21.238938053097346,5.319148936170213,5.084745762711865,1.7543859649122806,17.62114537444934,1.7391304347826086,7.5,0.0,0.0,5.660377358490567,0.0,8.45272206303725
Random Survival Forest,1.1627906976744187,3.0973451327433628,0.5319148936170213,0.0,0.0,1.762114537444934,0.0,0.0,0.0,0.0,0.9433962264150944,0.0,1.0744985673352434
ARIMA,0.0,0.0,0.0,0.0,0.0,0.4405286343612335,1.7391304347826086,0.0,3.508771929824561,1.6129032258064515,0.0,1.1494252873563218,0.501432664756447
Bayesian Regression,2.3255813953488373,0.4424778761061947,0.5319148936170213,0.0,0.0,0.4405286343612335,0.8695652173913043,2.5,1.7543859649122806,1.6129032258064515,2.8301886792452833,3.4482758620689653,1.2177650429799427
Generalized Estimating Equations,2.3255813953488373,0.0,1.5957446808510638,5.084745762711865,5.263157894736842,0.0,0.0,0.0,0.0,1.6129032258064515,4.716981132075472,3.4482758620689653,1.5759312320916905
Hidden Markov Model,1.1627906976744187,0.4424778761061947,0.5319148936170213,0.0,0.0,0.0,4.3478260869565215,0.0,0.0,1.6129032258064515,5.660377358490567,2.2988505747126435,1.2893982808022924
Kalman Filter,0.0,0.0,0.0,0.0,0.0,0.0,2.608695652173913,0.0,7.017543859649122,4.838709677419355,5.660377358490567,0.0,1.146131805157593
Markov Model,1.1627906976744187,0.8849557522123894,1.5957446808510638,0.0,0.0,0.0,5.217391304347826,0.0,1.7543859649122806,1.6129032258064515,5.660377358490567,4.597701149425287,1.7908309455587392
Mixed-Effects Model,11.046511627906977,2.2123893805309733,5.851063829787234,6.779661016949152,3.508771929824561,0.4405286343612335,6.956521739130435,0.0,0.0,4.838709677419355,5.660377358490567,10.344827586206897,4.871060171919771
Naive Bayes,2.3255813953488373,5.3097345132743365,0.0,0.0,0.0,7.929515418502203,6.086956521739131,0.0,0.0,1.6129032258064515,3.7735849056603774,5.747126436781609,3.6532951289398286
Ensemble,29.651162790697676,15.929203539823009,6.382978723404255,1.694915254237288,0.0,22.026431718061673,30.434782608695656,5.0,59.64912280701754,35.483870967741936,19.81132075471698,20.689655172413794,20.20057306590258
Decision Tree,15.11627906976744,14.15929203539823,5.319148936170213,0.0,0.0,24.229074889867842,22.608695652173914,5.0,10.526315789473683,12.903225806451612,11.320754716981133,24.137931034482758,14.183381088825215
Federated Learning,0.0,1.7699115044247788,0.0,0.0,0.0,2.2026431718061676,3.4782608695652173,0.0,0.0,3.225806451612903,1.8867924528301887,4.597701149425287,1.5042979942693409
Reinforcement Learning,0.5813953488372093,3.0973451327433628,0.5319148936170213,0.0,0.0,3.0837004405286343,5.217391304347826,0.0,0.0,1.6129032258064515,0.9433962264150944,5.747126436781609,2.0773638968481376
Papers (N),172.0,226.0,188.0,59.0,57.0,227.0,115.0,40.0,57.0,62.0,106.0,87.0,1396.0
